+------+------------------------+------------+---------+
| Tile |        Pawprint        | Matched N. | Status  |
| b263 | v20140712_00593_st_cat | 285361     | matched |
| b263 | v20120418_00485_st_cat | 274261     | matched |
| b263 | v20150723_00853_st_cat | 233353     | matched |
| b263 | v20150918_00249_st_cat | 254027     | matched |
| b263 | v20140712_00599_st_cat | 282661     | matched |
| b263 | v20120814_00137_st_cat | 219231     | matched |
| b263 | v20120611_00436_st_cat | 285240     | matched |
| b263 | v20120722_00311_st_cat | 234154     | matched |
| b263 | v20120924_00134_st_cat | 274082     | matched |
| b263 | v20130703_00830_st_cat | 269449     | matched |
| b263 | v20110925_00381_st_cat | 175227     | matched |
| b263 | v20120418_00377_st_cat | 287035     | matched |
| b263 | v20110804_00775_st_cat | 207797     | matched |
| b263 | v20150529_00515_st_cat | 182352     | matched |
| b263 | v20120828_00659_st_cat | 192689     | matched |
| b263 | v20120808_00215_st_cat | 163388     | matched |
| b263 | v20130706_00733_st_cat | 266280     | matched |
| b263 | v20140703_00565_st_cat | 240637     | matched |
| b263 | v20150529_00607_st_cat | 223043     | matched |
| b263 | v20150804_00331_st_cat | 218744     | matched |
| b263 | v20120723_00394_st_cat | 215905     | matched |
| b263 | v20130703_00834_st_cat | 247646     | matched |
| b263 | v20110804_00767_st_cat | 212870     | matched |
| b263 | v20110915_00507_st_cat | 254599     | matched |
| b263 | v20150804_00335_st_cat | 208463     | matched |
| b263 | v20140703_00571_st_cat | 235695     | matched |
| b263 | v20140624_00935_st_cat | 228912     | matched |
| b263 | v20140624_00283_st_cat | 203323     | matched |
| b263 | v20131017_00191_st_cat | 155894     | matched |
| b263 | v20120406_00406_st_cat | 258455     | matched |
| b263 | v20140804_00146_st_cat | 123575     | matched |
| b263 | v20120428_00609_st_cat | 245181     | matched |
| b263 | v20120817_00556_st_cat | 198289     | matched |
| b263 | v20120804_00663_st_cat | 196821     | matched |
| b263 | v20130711_00347_st_cat | 300623     | matched |
| b263 | v20150907_00123_st_cat | 287145     | matched |
| b263 | v20120312_00561_st_cat | 235695     | matched |
| b263 | v20120723_00390_st_cat | 196093     | matched |
